content / extracted features,babe,babes,babies,baby,back,birthday,day,ever,excited,focus,frankiejgrande,happy,heart,know,like,love,much,new,one,really,see,show,soon,sweet,thank,time,today,tomorrow,tonight,wow
No. of count,30,105,46,25,26,24,28,30,37,45,30,42,31,28,40,480,109,28,31,26,70,34,43,25,135,24,39,26,47,25
----------------------------------------
No. of clusters,8
----------------------------------------
No. of message,86
"Brooklyn, you were so much fun. I love New York with all my heart.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5971132083645571,0.0,0.0,0.26556176494900713,0.4485075727904089,0.6097325008095019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chicago babes, y'all were phenomenal!! thank you so much for your infectious love energy. I love you so much.",0.0,0.3669704634141813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43939806818512134,0.7420999069212588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34863984970772316,0.0,0.0,0.0,0.0,0.0
so much â˜•ï¸â˜•ï¸â˜•ï¸ https://t.co/bRK0xMuRmE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
love y'all so much more https://t.co/vHTeliIl9Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094892658256427,0.8604770119000552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"St. Louis, thank y'all so much for your love and loudnes tonight. I love you so much.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42463458650528935,0.7171658455912003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33692578356428526,0.0,0.0,0.0,0.43799501621654663,0.0
thank you so much Tulsa! you were amazing tonight ðŸ’œðŸ’œ love you,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30676726587267106,0.5180995910857917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48680820974405326,0.0,0.0,0.0,0.6328383879250146,0.0
thank you Nola!! you were amazing tonight. love y'all so much.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30676726587267106,0.5180995910857917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48680820974405326,0.0,0.0,0.0,0.6328383879250146,0.0
life is short. tell the ones you love how much you love them every chance you have. âœ¨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7640276051417579,0.6451835541776851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"thank you so much, Dallas!! I love you I love you I do",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6533495276282709,0.5517213874455604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5183993686175368,0.0,0.0,0.0,0.0,0.0
you actually have no idea how much I adore y'all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
my stunning angel baby .....love you so much ðŸ’œ https://t.co/YYzDbNdvfk,0.0,0.0,0.0,0.7673399499664345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326705160439735,0.551772724341786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
but I really can't stop laughing @ my mentions / your reactions ðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ˜©ðŸ˜© I love you so much. #snatched,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32018742052102295,0.5407649058345472,0.0,0.0,0.7778517418877757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
omg...... @theAMAs thank you so so so much for the nominations!!!!!!!!!!!!!!!ðŸ’œðŸ’œðŸ’œðŸ’œ!!!!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7287718411717103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6847566016587173,0.0,0.0,0.0,0.0,0.0
currently having a heart attack ðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œ @TheAMAs http://t.co/IyoS2SRYuQ thank you so much for the nominations to my babes for voting ðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œðŸ’œ,0.0,0.45945940434693916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6184937482646312,0.0,0.0,0.0,0.4645670635556444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.436508857383225,0.0,0.0,0.0,0.0,0.0
"great. crying my eyes out already. @brilovelife I love you so much. thank you for your hard work,â€¦ https://t.co/0GeXlpfHhh",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39619480855943773,0.6691338716372638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628720554378713,0.0,0.0,0.0,0.0,0.0
"@AndreaBocelli much love, Andrea... this is beautiful and again i'm so honored. mille grazie!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094892658256427,0.8604770119000552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@TheKiaraAna @Adrienne_Woods @ChrysantheTan I love you three so much,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094892658256427,0.8604770119000552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
